# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 2.028581 seconds
# 4929.554048 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 25350.59473	    17.51072
    50	  6197.32199	     2.93088
   100	  2788.20765	     1.09343
   150	  1630.86391	     0.55599
   200	  1062.20479	     0.33133
   250	   744.57976	     0.21815
   300	   550.01423	     0.15374
   350	   419.94300	     0.11376
   400	   326.51518	     0.08742
   450	   193.48681	     0.06455
   500	   147.18801	     0.05055
   550	   117.93118	     0.04112
   600	    94.98675	     0.03380
   650	    75.71316	     0.02774
   700	    62.01802	     0.02316
   750	    51.61140	     0.01956
   800	    43.50535	     0.01669
   850	    36.94298	     0.01434
   900	    31.59821	     0.01239
   950	    27.18640	     0.01077
  1000	    23.49939	     0.00940
  1050	    20.40104	     0.00824
  1100	    17.85372	     0.00728
  1150	    15.69018	     0.00645
  1200	    13.83571	     0.00573
  1250	    12.24732	     0.00511
  1300	    10.88104	     0.00458
  1350	     9.70755	     0.00411
  1400	     8.69438	     0.00371
  1450	     7.80721	     0.00335
  1500	     7.01532	     0.00303
  1550	     6.32528	     0.00275
  1600	     5.71441	     0.00251
  1650	     5.16568	     0.00228
  1700	     4.68158	     0.00208
  1750	     4.25223	     0.00190
  1800	     3.86729	     0.00174
  1850	     3.52424	     0.00160
  1900	     3.21326	     0.00147
  1950	     2.93383	     0.00135
  2000	     2.68567	     0.00124
  2050	     2.46092	     0.00114
  2100	     2.25518	     0.00105
  2150	     2.07089	     0.00097
  2200	     1.90194	     0.00090
  2250	     1.75139	     0.00083
  2300	     1.61313	     0.00077
  2350	     1.48665	     0.00072
  2400	     1.37277	     0.00067
  2450	     1.26708	     0.00062
  2500	     1.17102	     0.00058
  2550	     1.08252	     0.00054
  2600	     1.00281	     0.00050
  2650	     0.93005	     0.00047
  2700	     0.86298	     0.00044
  2750	     0.79992	     0.00041
  2800	     0.74260	     0.00038
  2850	     0.68944	     0.00036
  2900	     0.64224	     0.00033
  2950	     0.59715	     0.00031
  3000	     0.55582	     0.00029
  3050	     0.51731	     0.00027
  3100	     0.48149	     0.00026
  3150	     0.44887	     0.00024
  3200	     0.41889	     0.00022
  3250	     0.39132	     0.00021
  3300	     0.36498	     0.00020
  3350	     0.34083	     0.00019
  3400	     0.31819	     0.00017
  3450	     0.29724	     0.00016
  3500	     0.27784	     0.00015
  3550	     0.25974	     0.00014
  3600	     0.24332	     0.00014
  3650	     0.22792	     0.00013
  3700	     0.21308	     0.00012
  3750	     0.19985	     0.00011
  3800	     0.18723	     0.00011
  3850	     0.17544	     0.00010
  3900	     0.16452	     0.00010
  3950	     0.15444	     0.00009
  4000	     0.14508	     0.00008
  4050	     0.13609	     0.00008
  4100	     0.12785	     0.00008
  4150	     0.12013	     0.00007
  4200	     0.11292	     0.00007
  4250	     0.10600	     0.00006
  4300	     0.09970	     0.00006
  4350	     0.09390	     0.00006
  4400	     0.08845	     0.00005
  4450	     0.08324	     0.00005
  4500	     0.07827	     0.00005
  4550	     0.07375	     0.00005
  4600	     0.06959	     0.00004
  4650	     0.06560	     0.00004
  4700	     0.06183	     0.00004
  4750	     0.05830	     0.00004
  4800	     0.05501	     0.00003
  4850	     0.05184	     0.00003
  4900	     0.04893	     0.00003
  4950	     0.04603	     0.00003
# extra	     0.00831
