# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 50000000
#
# 10.071961 seconds
# 4964.276625 K photons per second
# Fotones simulados    = 50000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 24401.62793	     7.75219
    50	  5792.62584	     1.33030
   100	  2792.83779	     0.48635
   150	  1641.66322	     0.24405
   200	  1052.07710	     0.14486
   250	   730.38185	     0.09550
   300	   533.75128	     0.06751
   350	   402.98881	     0.05023
   400	   308.65613	     0.03887
   450	   177.34819	     0.02819
   500	   136.06169	     0.02243
   550	   110.13597	     0.01812
   600	    90.28258	     0.01472
   650	    74.69434	     0.01182
   700	    63.48165	     0.00962
   750	    52.72876	     0.00819
   800	    44.23837	     0.00704
   850	    37.39189	     0.00611
   900	    31.78074	     0.00535
   950	    27.14127	     0.00472
  1000	    23.31922	     0.00414
  1050	    20.13666	     0.00364
  1100	    17.49660	     0.00322
  1150	    15.28267	     0.00286
  1200	    13.41433	     0.00254
  1250	    11.84209	     0.00227
  1300	    10.51386	     0.00203
  1350	     9.39334	     0.00182
  1400	     8.43799	     0.00164
  1450	     7.59882	     0.00148
  1500	     6.82197	     0.00133
  1550	     6.13456	     0.00121
  1600	     5.52827	     0.00110
  1650	     4.99087	     0.00100
  1700	     4.51376	     0.00091
  1750	     4.08814	     0.00083
  1800	     3.71072	     0.00076
  1850	     3.37188	     0.00070
  1900	     3.07274	     0.00065
  1950	     2.80393	     0.00060
  2000	     2.56379	     0.00055
  2050	     2.34614	     0.00050
  2100	     2.15352	     0.00047
  2150	     1.98021	     0.00043
  2200	     1.82539	     0.00040
  2250	     1.68662	     0.00037
  2300	     1.56147	     0.00034
  2350	     1.44054	     0.00032
  2400	     1.32582	     0.00029
  2450	     1.22140	     0.00027
  2500	     1.12536	     0.00025
  2550	     1.03866	     0.00024
  2600	     0.95928	     0.00022
  2650	     0.88681	     0.00020
  2700	     0.82105	     0.00019
  2750	     0.76049	     0.00018
  2800	     0.70543	     0.00017
  2850	     0.65514	     0.00016
  2900	     0.60927	     0.00015
  2950	     0.56737	     0.00014
  3000	     0.52893	     0.00013
  3050	     0.49415	     0.00012
  3100	     0.46217	     0.00011
  3150	     0.43310	     0.00010
  3200	     0.40657	     0.00010
  3250	     0.38018	     0.00009
  3300	     0.35406	     0.00009
  3350	     0.32977	     0.00008
  3400	     0.30718	     0.00008
  3450	     0.28655	     0.00007
  3500	     0.26730	     0.00007
  3550	     0.24956	     0.00006
  3600	     0.23315	     0.00006
  3650	     0.21785	     0.00006
  3700	     0.20361	     0.00005
  3750	     0.19055	     0.00005
  3800	     0.17846	     0.00005
  3850	     0.16727	     0.00004
  3900	     0.15691	     0.00004
  3950	     0.14733	     0.00004
  4000	     0.13846	     0.00004
  4050	     0.13027	     0.00004
  4100	     0.12281	     0.00003
  4150	     0.11515	     0.00003
  4200	     0.10799	     0.00003
  4250	     0.10128	     0.00003
  4300	     0.09511	     0.00003
  4350	     0.08932	     0.00003
  4400	     0.08379	     0.00002
  4450	     0.07881	     0.00002
  4500	     0.07408	     0.00002
  4550	     0.06969	     0.00002
  4600	     0.06557	     0.00002
  4650	     0.06174	     0.00002
  4700	     0.05817	     0.00002
  4750	     0.05486	     0.00002
  4800	     0.05178	     0.00002
  4850	     0.04892	     0.00001
  4900	     0.04625	     0.00001
  4950	     0.04375	     0.00001
# extra	     0.00307
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 50000000
#
# 10.074018 seconds
# 4963.263108 K photons per second
# Fotones simulados    = 50000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 24398.98682	     7.75221
    50	  5788.46903	     1.33033
   100	  2794.01676	     0.48646
   150	  1640.66570	     0.24405
   200	  1051.88518	     0.14488
   250	   730.05688	     0.09551
   300	   533.75354	     0.06752
   350	   403.12701	     0.05023
   400	   308.43097	     0.03889
   450	   177.32055	     0.02819
   500	   136.01455	     0.02243
   550	   110.12341	     0.01812
   600	    90.29399	     0.01472
   650	    74.69124	     0.01182
   700	    63.47354	     0.00962
   750	    52.72048	     0.00819
   800	    44.23568	     0.00704
   850	    37.38084	     0.00611
   900	    31.78145	     0.00535
   950	    27.14361	     0.00472
  1000	    23.30714	     0.00414
  1050	    20.12397	     0.00364
  1100	    17.49012	     0.00322
  1150	    15.28683	     0.00286
  1200	    13.42117	     0.00254
  1250	    11.84593	     0.00227
  1300	    10.52006	     0.00203
  1350	     9.39387	     0.00182
  1400	     8.43409	     0.00164
  1450	     7.60094	     0.00148
  1500	     6.82524	     0.00133
  1550	     6.13578	     0.00121
  1600	     5.52865	     0.00110
  1650	     4.99290	     0.00100
  1700	     4.51454	     0.00091
  1750	     4.08860	     0.00083
  1800	     3.71029	     0.00076
  1850	     3.37236	     0.00070
  1900	     3.07217	     0.00065
  1950	     2.80524	     0.00060
  2000	     2.56475	     0.00055
  2050	     2.34882	     0.00051
  2100	     2.15455	     0.00047
  2150	     1.98184	     0.00043
  2200	     1.82607	     0.00040
  2250	     1.68640	     0.00037
  2300	     1.56175	     0.00034
  2350	     1.44011	     0.00032
  2400	     1.32535	     0.00029
  2450	     1.22055	     0.00027
  2500	     1.12578	     0.00025
  2550	     1.03834	     0.00024
  2600	     0.95964	     0.00022
  2650	     0.88697	     0.00020
  2700	     0.82096	     0.00019
  2750	     0.76075	     0.00018
  2800	     0.70531	     0.00017
  2850	     0.65523	     0.00016
  2900	     0.60943	     0.00015
  2950	     0.56746	     0.00014
  3000	     0.52930	     0.00013
  3050	     0.49414	     0.00012
  3100	     0.46222	     0.00011
  3150	     0.43339	     0.00010
  3200	     0.40663	     0.00010
  3250	     0.38012	     0.00009
  3300	     0.35406	     0.00009
  3350	     0.32975	     0.00008
  3400	     0.30755	     0.00008
  3450	     0.28657	     0.00007
  3500	     0.26711	     0.00007
  3550	     0.24950	     0.00006
  3600	     0.23291	     0.00006
  3650	     0.21766	     0.00006
  3700	     0.20359	     0.00005
  3750	     0.19058	     0.00005
  3800	     0.17850	     0.00005
  3850	     0.16724	     0.00004
  3900	     0.15695	     0.00004
  3950	     0.14740	     0.00004
  4000	     0.13849	     0.00004
  4050	     0.13033	     0.00004
  4100	     0.12284	     0.00003
  4150	     0.11514	     0.00003
  4200	     0.10802	     0.00003
  4250	     0.10129	     0.00003
  4300	     0.09511	     0.00003
  4350	     0.08930	     0.00003
  4400	     0.08391	     0.00002
  4450	     0.07877	     0.00002
  4500	     0.07408	     0.00002
  4550	     0.06963	     0.00002
  4600	     0.06561	     0.00002
  4650	     0.06181	     0.00002
  4700	     0.05823	     0.00002
  4750	     0.05489	     0.00002
  4800	     0.05180	     0.00002
  4850	     0.04893	     0.00001
  4900	     0.04623	     0.00001
  4950	     0.04377	     0.00001
# extra	     0.00307
