# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =  5000000
#
# 0.819074 seconds
# 6104.456309 K photons per second
# Fotones simulados    = 5000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 24913.59961	    24.71047
    50	  6202.78125	     4.10993
   100	  2804.20806	     1.54124
   150	  1638.95967	     0.78652
   200	  1066.11232	     0.46936
   250	   747.90337	     0.30916
   300	   553.22682	     0.21788
   350	   422.45078	     0.16128
   400	   328.20757	     0.12401
   450	   193.81182	     0.08974
   500	   147.47399	     0.07055
   550	   118.13883	     0.05745
   600	    95.03333	     0.04728
   650	    75.77027	     0.03887
   700	    62.06232	     0.03249
   750	    51.78591	     0.02750
   800	    43.65001	     0.02348
   850	    37.05023	     0.02019
   900	    31.67730	     0.01746
   950	    27.25510	     0.01519
  1000	    23.55128	     0.01328
  1050	    20.50837	     0.01166
  1100	    17.91948	     0.01030
  1150	    15.74028	     0.00914
  1200	    13.87452	     0.00813
  1250	    12.28194	     0.00726
  1300	    10.91500	     0.00650
  1350	     9.75062	     0.00584
  1400	     8.72136	     0.00527
  1450	     7.81857	     0.00476
  1500	     7.02662	     0.00431
  1550	     6.33952	     0.00392
  1600	     5.71970	     0.00356
  1650	     5.17617	     0.00324
  1700	     4.67815	     0.00296
  1750	     4.25559	     0.00270
  1800	     3.86433	     0.00247
  1850	     3.52855	     0.00227
  1900	     3.21335	     0.00208
  1950	     2.93616	     0.00192
  2000	     2.68859	     0.00176
  2050	     2.46482	     0.00163
  2100	     2.26119	     0.00150
  2150	     2.07372	     0.00139
  2200	     1.90664	     0.00128
  2250	     1.75494	     0.00119
  2300	     1.61741	     0.00110
  2350	     1.49145	     0.00102
  2400	     1.37537	     0.00095
  2450	     1.26928	     0.00088
  2500	     1.17333	     0.00082
  2550	     1.08629	     0.00076
  2600	     1.00610	     0.00071
  2650	     0.93024	     0.00066
  2700	     0.86280	     0.00062
  2750	     0.80049	     0.00058
  2800	     0.74479	     0.00054
  2850	     0.69149	     0.00050
  2900	     0.64233	     0.00047
  2950	     0.59739	     0.00044
  3000	     0.55636	     0.00041
  3050	     0.51795	     0.00039
  3100	     0.48329	     0.00036
  3150	     0.45009	     0.00034
  3200	     0.42015	     0.00032
  3250	     0.39171	     0.00030
  3300	     0.36542	     0.00028
  3350	     0.34140	     0.00026
  3400	     0.31852	     0.00025
  3450	     0.29783	     0.00023
  3500	     0.27905	     0.00022
  3550	     0.26067	     0.00021
  3600	     0.24433	     0.00019
  3650	     0.22862	     0.00018
  3700	     0.21417	     0.00017
  3750	     0.20032	     0.00016
  3800	     0.18833	     0.00015
  3850	     0.17619	     0.00014
  3900	     0.16539	     0.00014
  3950	     0.15511	     0.00013
  4000	     0.14551	     0.00012
  4050	     0.13658	     0.00011
  4100	     0.12848	     0.00011
  4150	     0.12065	     0.00010
  4200	     0.11347	     0.00010
  4250	     0.10654	     0.00009
  4300	     0.10023	     0.00009
  4350	     0.09437	     0.00008
  4400	     0.08898	     0.00008
  4450	     0.08342	     0.00007
  4500	     0.07868	     0.00007
  4550	     0.07401	     0.00006
  4600	     0.06972	     0.00006
  4650	     0.06563	     0.00006
  4700	     0.06193	     0.00006
  4750	     0.05837	     0.00005
  4800	     0.05501	     0.00005
  4850	     0.05191	     0.00005
  4900	     0.04894	     0.00004
  4950	     0.04607	     0.00004
# extra	     0.01914
